,Gal,nsa_mstar,nsa_sersic_n,rat_vel_sigma,pa_w,pa_w_sigma,paph,paph_e,pakn,pakn_e,pamod,pamod_e,bar_pa,bar_pa_e,inc_w,inc_w_ep,inc_w_em,vc_flat,vc_flat_err,bar_dep,bar_dep_e,bar_med,bar_upp,bar_low,om_med,om_upp,om_low,cr_med,cr_upp,cr_low,R_med,R_upp,R_low
24,9047-12703,11.2716665020986,3.45638,0.30756207722771,104.72491200497612,0.7070891041799028,103.44926350115271,0.5368001039777378,106.0,0.6666666666666666,110.33,1.15,133.917575,1.6277649999999824,54.103669480377846,54.671375377079656,53.53186261105451,310.94778230812733,2.507669270870189,9.33747408,0.46687410000000007,11.821898105076697,12.399294926081446,11.252618726940524,21.51131404544054,23.10106264810077,19.663163877471344,13.488579277321366,14.644865669453663,12.564310878347197,1.142818388898291,1.257924697930998,1.048109105852049
25,9182-12703,11.0650042679316,3.06496,0.312005476495053,121.5297659895797,0.9192158354338738,116.84955758372676,11.055170635358676,123.0,0.6666666666666666,120.06,0.79,133.43724,1.3500899999999945,31.46955283598258,36.468023732524045,25.62462978249389,278.0351672270384,3.058726005175997,5.797836,1.3453882200000002,8.678051884069639,10.439317149995937,7.177713037136242,32.01007679247765,38.55467684274545,27.53050529623453,7.773715343307537,9.59032299923339,6.532960441057528,0.9046662530793804,1.1764820507669047,0.6956630116981258
26,9196-12701,11.015526373542302,3.46707,0.288672284103543,123.87464840032784,2.191976222957699,116.84265495641328,4.957297788786458,120.0,0.3333333333333333,127.75,1.02,178.71792920000001,0.6910271999999935,29.889775247152592,30.407125881937407,29.3641663868982,305.9481504296271,1.096360754644378,12.61777572,0.6308893800000002,9.06508917629528,9.487494710677892,8.65083561564082,23.76768857604653,30.644301934834736,16.771251296429092,11.699639968520549,14.914028610168709,9.465741070142128,1.2925337558095928,1.6499858584021982,1.0385831214555974
27,9502-12703,11.1538816651389,4.38281,0.289111635196487,21.99935473697104,1.2998700194967503,22.63607918433435,3.235139720615576,22.0,0.6666666666666666,14.91,0.93,166.07633499999997,3.2527749999999997,42.003180714040816,49.94861818185113,32.56929228402465,245.19679927234432,2.3492851521230262,4.86469764,0.5107924800000001,3.413319310701713,3.9075691436639617,3.01424915052014,29.3311830940363,37.05695016783653,23.712714420779815,7.868562425929718,9.34551965361396,6.511777571101673,2.2935177485475333,2.8281013190193613,1.8094255410737967
28,9881-12705,10.8111083620774,2.31889,0.252043657442923,49.18929717902449,1.3322815966679384,53.21873290714674,2.5805672812196567,47.0,1.0,48.45,1.08,62.297335,0.9056449999999998,35.954876391400674,39.23118338406948,32.39668522706656,225.37917452634983,3.584336446113097,11.35599696,0.5678006400000006,7.465074000797157,7.8069159136245085,7.114699723813032,22.236728147881717,25.139010406978283,19.23353039775278,9.611073165111396,11.145867367794413,8.384248596722713,1.288879874863179,1.5085241093149149,1.1160126764149425
29,10222-12704,11.1057010296246,4.4671400000000006,0.334846197125267,148.70556472168522,0.7070891041799029,159.99999842587093,0.0019076680869564,149.0,0.5,148.41,0.87,38.71943,14.735000000000001,23.837072834381992,26.17539738331907,21.259326136745763,346.42942015473017,2.652467231273901,4.36030618,0.7216318399999997,7.221193102248242,8.319643295819652,6.2805115469706845,31.30276267774347,35.7759387149784,27.382057678100647,10.453758362870614,12.045261794579554,9.020668467188251,1.4441471619585302,1.763927284080593,1.1759883936749154
30,11016-12703,11.1721046055392,5.883614,0.3209051960468139,92.65876396389064,0.8537134645256049,91.04771176198794,2.101707041890797,93.0,0.1666666666666666,92.82,2.62,64.375715,5.348875000000003,47.32335791431348,51.918950339000645,42.35842344804343,309.0573422884672,28.87870626522916,6.64992418,1.1005624399999996,7.610123718926812,8.860045672141348,6.5308996901110055,31.712135778598107,35.31690536009376,28.292769491635685,9.3559729720069,10.768365884772397,8.104702551717077,1.228135554945517,1.5036367762386391,0.9906276153860653
31,11754-12705,11.085763946240098,5.728091,0.297067072818455,66.00112239699679,1.6998300254957508,72.36621476192911,2.0921128446575503,66.0,1.6666666666666667,70.86,3.42,21.196865,0.6112649999999995,44.88419538983643,53.32404416627815,34.937181913504794,131.51907606371583,5.274081180085071,12.23053466,1.2842074099999996,9.179764253049935,10.70517164018522,7.988989026294621,9.235626968983194,12.298506518544109,6.796516321529579,13.046900746238672,18.18559487930761,9.34357792592662,1.416154943021965,2.0213306935697624,0.9674213604530958
32,11872-12702,10.937402774705902,4.144374,0.3725709818846389,163.2952762683862,1.7320508075688772,167.21582880515857,1.6417197545582924,162.0,0.5,160.67,1.0,114.96443,3.9745200000000054,53.313079854592345,55.86538656988516,50.67303043435383,228.3869124605397,5.206691336759482,5.01617078,0.5266986,9.533765870579678,10.599646951062052,8.546367615907542,13.081769354661349,15.124681731999097,10.923559058965196,14.078545567361015,17.904443189485708,10.906164622679077,1.4753783443258175,1.9194042779129048,1.1164503922592577
33,11957-9101,11.0164709134024,2.4492996,0.3800967433357449,4.80977967353267,1.0998900164972505,6.416294673775943,1.3982196212517068,1.0,0.1666666666666666,4.81,0.18,130.743035,20.23568499999999,49.67308964114139,51.026798922303314,48.291662221629714,337.9824233743697,20.45302939764869,7.344177020000001,3.483773389999999,8.109959789357415,11.199167227570436,5.761190305282381,26.049000287809385,33.504949649655714,19.30125024429911,11.308311645428958,15.97641770142909,7.913613393893009,1.4032610072868068,2.237358678737804,0.8472627550596696
