Gal,nsa_mstar,pa_w,pa_w_sigma,paph,paph_e,pakn,pakn_e,pamod,pamod_e,inc_w,inc_w_ep,inc_w_em,vc_flat,vc_flat_err,bar_med,bar_upp,bar_low,om_med,om_upp,om_low,cr_med,cr_upp,cr_low,R_med,R_upp,R_low
2,8135-6103,11.0370469452138,34.894144208181,2.409757024232739,79.97303863330151,0.1625031500198718,30.91412742382272,0.6648199445983387,34.89,2.41,37.42680390725306,37.92209155314957,36.925857300314895,239.80413628997428,4.3886540097180005,8.278942882148192,9.517212858197803,7.185284614534976,20.221114145716413,24.36033064334729,15.116651097958982,11.002435257432104,13.981975537968957,9.017360101622067,1.3348471487191984,1.771962556961329,1.0417935358326154
66,8146-9102,10.6280573699897,16.999520486571512,0.9999000149975004,14.923906688274412,3.4777421588454205,17.0,0.5,14.28,6.49,54.419721896702185,57.12372469053436,51.62108225068231,209.5195295422237,2.434777826182479,6.166852446764082,7.144511096791062,5.28484511246147,23.073881890214658,24.856755712011783,21.337984084654,8.717573392075646,9.20239215793837,8.293105509930275,1.4144399520715918,1.659840944504736,1.2015824583607877
71,8241-6102,10.6346789120162,117.00673371015569,1.499662613863552,142.3910681122056,18.15657476974837,117.0,1.5,121.55,1.69,20.96241922985771,22.66447168784166,19.116724596981264,297.6272577465557,2.252587139879365,3.2906889929955416,3.444205183582651,3.136192131594868,45.1791483956136,55.23229633976901,36.64425728617394,5.860420046366605,7.2001754422361,4.570491051534479,1.779842002143956,2.201681675298623,1.380431150246979
39,8245-12702,11.0582253573731,17.66476163977028,0.7070891041799028,16.329962755704535,0.5433718167719424,19.0,0.1666666666666666,13.27,0.45,51.83183176489334,54.55831330755865,48.99921851836185,351.17535734983346,3.4920258341946573,9.395996588289922,10.8658273146253,8.104676990836413,26.32649010629212,28.221520993196894,23.575729530520363,11.590536780810272,12.635131033611207,10.867014051739403,1.2500916127933843,1.4868047582019273,1.0491077232021224
3,8257-6103,11.2299322062125,135.94794779571214,0.9252655293723232,115.87570959364989,6.8365700509424885,136.0,1.0,135.65,2.44,25.78424635093969,28.427399735740533,22.86015504131336,426.1456329282705,5.9314449351027685,6.276460940013199,6.89909693639378,5.680075779412439,32.10026183508296,39.08785727942757,26.194383782600315,11.889477487360216,14.080069526869725,9.781712093951167,1.893982116848636,2.3145674910704086,1.519969868103893
69,8312-12702,10.6196488241739,92.4676497923082,1.3594367729202237,90.0156570199528,3.217170149473247,93.0,0.6666666666666666,99.29,1.02,38.907085339810095,43.13589588388881,34.2492707054268,230.213939781636,1.1034173005360493,5.0003493794359,6.02223759591831,4.137076829253996,29.192293724929023,33.26565133738275,25.86114957725369,7.485384321972873,8.292154316642193,6.676430917304447,1.4941700139547516,1.8429957410800704,1.1911975586441297
72,8312-12705,10.5179496665386,92.4385673371109,5.572613762822094,82.61884924594989,26.211904228269983,105.0,2.5,92.43,5.59,36.72909749380066,42.30926377177804,30.29701811208261,108.1781938400662,11.910027296861042,5.41330649145761,6.525366297652987,4.439107975441545,14.736857969478557,21.05228919662727,9.617661089707934,5.629869199227351,10.395385670919069,2.83885879363358,1.04197482006201,1.9686398116856911,0.5056729365585897
68,8319-12704,10.6967987130945,109.20497670203572,0.9999000149975004,109.2033036973761,0.6895308330257756,117.0,0.5,118.14,0.46,42.83495509961055,44.41088812527401,41.21080138621086,176.89723872474028,1.2087167786052555,4.757630193254421,5.235961728382909,4.3172909944538285,30.899534011724786,33.36053406003289,28.642559656307675,5.7411679527043376,6.096691006364178,5.361172611445781,1.2036353900135728,1.3477583748350863,1.0677133921641893
76,8320-6101,10.3697920337152,4.0967001786857375,0.9741287924785904,5.885854334271714,4.314436873143992,4.0,0.6666666666666666,9.93,2.27,47.35277791276395,49.31263797456927,45.32909459068234,203.221645043754,12.175416107125828,3.270760259557488,3.762369734549426,2.8293755562004663,54.080911545220985,63.88523214116547,43.55567712239807,3.054524341409945,4.030513281156601,2.1725932926819578,0.9320960786032452,1.2758648972519582,0.6400089147357079
40,8324-12702,10.9613434086836,68.47196660287466,0.7777980145978931,68.90428040240963,0.7471103802005726,65.0,0.3333333333333333,68.04,0.43,35.90857847457856,37.14171781113851,34.63763879322145,252.35728518646616,1.0725747169524995,5.363866636609891,5.6319802287488745,5.096365324457993,33.319919439668055,40.300953668289175,25.910351996096097,7.198045387131545,9.309383230088836,5.743492086260896,1.3447780238815912,1.7467420959540607,1.0644487120121569
77,8341-12704,10.7331652553471,55.53646291098632,1.9157855590926909,54.06966265463973,2.573113153921617,63.0,1.6666666666666667,57.36,2.87,25.18139519791439,28.467227293609668,21.43376575263606,116.6615110622999,1.3553179915727145,4.905470941700937,5.143903106552543,4.669885024394888,18.45125832050533,23.07538292553209,14.381923455501816,5.449679547182116,7.279286844022744,3.80465788520326,1.1131145409035026,1.493086961763901,0.7715090422118277
